training test size,tr_min_size,tr_max_size,tr_mean_size,tr_min_acc,tr_max_acc,tr_mean_acc,te_min_size,te_max_size,te_mean_size,te_min_acc,te_max_acc,te_mean_acc
2,3,3,3,88.8889,100,96.66667,3,3,3,87.3239,95.7746,94.64787
10,3,9,4.6,95.4545,100,96.81817,3,9,4.6,92.5831,95.6522,94.21995
20,3,13,7.2,95.4023,100,97.58619,3,13,7.2,91.954,95.4023,93.93678
30,7,15,10,96.1832,99.2366,97.78625,7,15,10,92.1053,96.3816,94.63814
40,7,19,11.8,96.5517,98.8506,97.52873,7,19,11.8,91.954,96.5517,95.28735
